Year,Rk,TeamName,Seed,AdjEM,AdjO,AdjD,AdjT,SOS-AdjEM,SOS-OppO,SOS-OppD,NCSOS-AdjEM,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Off. Efficiency-Raw,Def. Efficiency-Adj,Def. Efficiency-Raw,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,Experience,Bench,Continuity,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
2011,6,Wisconsin,4,25.84,122.3,96.5,56.9,10.81,110,99.2,-3.58,56.9,22.9,18.8,122.3,117.7,96.5,101.6,51.8,13.4,33,29.5,48.2,16.9,25.3,32.9,77.8,1.66,22,60.9,18.9,45,36.1,20.2,52.8,27
2011,84,Wofford,14,8.17,112.3,104.2,63.2,-0.59,104,104.6,6.96,63.2,18.6,18.4,112.3,111.7,104.2,103.2,53,18.2,32.5,42,49.8,20.1,31.8,41.5,75.7,2.68,21,73.6,21.5,54.8,23.6,23,52.6,24.4
2011,38,Xavier,6,16.02,112.8,96.8,64.3,4.49,105.4,100.9,6.02,64.3,18.2,18.4,112.8,108.7,96.8,97.5,51.2,18.4,31.3,44.5,46.5,19.2,26.4,35,77.3,2.09,14,63.9,24.5,53,22.5,21.5,48.3,30.2
2012,27,Alabama,9,16.69,106.1,89.5,61.9,7.07,107.4,100.3,3.98,61.9,19.7,18.2,106.1,100.9,89.5,90.9,49.1,20.1,32.6,36.2,43.7,21.1,30.4,38.2,76.8,1.25,36.4,45.8,20.7,60.1,19.1,22,52.3,25.7
2012,50,Brigham Young,14,12.79,106.3,93.5,72.6,1.31,105.1,103.8,0.38,72.6,14.1,18.7,106.3,105.9,93.5,92.7,52,18,29.1,36.5,47.7,21.3,25.9,34.3,77.9,1.3,33.1,41.7,19.8,54,26.2,19.4,51.7,28.9
2012,13,Baylor,3,21.29,116,94.7,65.6,9.61,108.1,98.5,-2.7,65.6,17.2,18.5,116,109.4,94.7,96.9,52.3,20.3,38,35.7,47.6,20.9,31.5,33.4,77.1,1.47,30.1,45.7,20.5,52.2,27.3,19.4,52.3,28.3
2012,25,Belmont,14,16.96,117.1,100.1,67.2,-0.32,103.4,103.7,4.69,67.2,16.4,18.5,117.1,116.2,100.1,96.9,55.5,17.4,33.3,38.7,48.3,20.7,31.8,35.6,76.2,2.01,33.6,75.4,20.4,46.7,32.9,19.5,54.5,26.1
2012,31,Cincinnati,6,16.03,109.5,93.5,62.9,6.9,105.7,98.8,-9.17,62.9,18.9,18.3,109.5,103.7,93.5,94,48,16.6,35.3,29.3,46.2,21.5,33.9,26.3,76.3,1.93,25,59,16.4,52.7,30.9,16.3,56.4,27.3
2012,81,Colorado,11,8.89,104.8,95.9,65.1,5.35,105.7,100.4,0.06,65.1,17.5,19,104.8,100,95.9,96.5,49.5,19.4,28.7,43.2,46.9,18.3,28.2,32,77.4,2.09,26.6,32.2,23,51.7,25.3,18.4,51.3,30.3
2012,88,Colorado State,11,8.17,111.9,103.7,63.6,4.39,104.7,100.3,0.85,63.6,19.2,18,111.9,106.4,103.7,103.5,53,19.6,28,42.3,50.4,18.2,28.6,39.5,75.3,1.74,29.2,58.6,23.5,51.3,25.3,21.6,46.6,31.7
2012,38,Connecticut,9,14.53,111.3,96.8,63,8.25,107.3,99.1,-0.46,63,18.7,18.6,111.3,104.7,96.8,98.7,50,18.7,36.5,34.6,44.6,16.8,34,25.3,77.7,1.16,28.2,54.3,18.6,57.6,23.8,17.2,49.2,33.5
2012,28,Creighton,8,16.47,119.2,102.7,65.9,3.79,104.9,101.1,-0.47,65.9,17.7,18,119.2,115.5,102.7,102.1,57.8,17.7,30.1,38,49.7,15.2,25.2,29.3,76.3,1.68,29.9,57.3,19.3,49.6,31.1,16.6,55.4,28
2012,71,Davidson,13,10.65,112,101.4,67.4,-3,101.5,104.5,8.78,67.4,17.3,17.6,112,110.9,101.4,97.5,50.9,17,34.5,36.7,47.2,17.3,26.2,41.7,77.8,1.65,31.1,69.9,21.6,48.6,29.8,22.8,54.6,22.6
2012,115,Detroit Mercy,15,5.48,108.1,102.6,67.1,0.35,102.2,101.8,1.14,67.1,17.6,18.1,108.1,103.7,102.6,99.8,48,19,34.3,43.3,50.9,22.1,31.4,38.9,76.3,1.87,26.8,72.1,24.9,56.3,18.8,21.2,49.3,29.5
2012,19,Duke,2,19.7,117.7,98,66.4,8.18,107.3,99.1,7.68,66.4,17.3,17.7,117.7,111.7,98,99.3,52.8,17.5,34.5,45.1,47.1,18.6,31.8,32.9,77.6,1.56,30.4,61.4,23.1,45.7,31.3,19.4,60.9,19.7
2012,10,Florida,7,22.47,120.4,98,64.2,7.18,105.4,98.2,-1.67,64.2,17.9,18.7,120.4,113.8,98,98.1,54.8,16.6,32.7,33.3,47.8,19,29.3,29.9,75.7,1.95,25.3,58.1,17.8,44.1,38.1,17.8,54,28.2
2012,24,Florida State,3,17.14,107.6,90.4,66.6,7.54,106.9,99.4,0.82,66.6,16.6,18.7,107.6,101,90.4,91.5,51.2,23.4,35,34.8,43.7,21.9,32.1,34.3,78.4,2,33.2,67.1,19.4,54.1,26.5,21.9,48,30.1
2012,15,Georgetown,3,21.05,111.2,90.1,62.1,8.32,107.3,99,-1.04,62.1,18.1,19.7,111.2,105.2,90.1,91.2,51.4,19.3,35,38.8,43.1,19.9,29.1,36.3,78.5,1.57,28.1,47.9,20.9,54.9,24.2,22.2,53.1,24.7
